Asset ID,Hostname,Type,Environment,Location,Datacenter,IP Address,Operating System,OS Version,CPU Cores,RAM (GB),Storage (GB),Status,Owner,Cost Center,Monthly Cost (DKK),Last Patched,Notes
SRV-001,prod-web-01,Physical Server,Production,Copenhagen,DC1,10.0.1.10,Windows Server,2022,16,64,500,Active,IT Operations,CC-1001,2500,2024-03-01,Primary web server
SRV-002,prod-web-02,Physical Server,Production,Copenhagen,DC1,10.0.1.11,Windows Server,2022,16,64,500,Active,IT Operations,CC-1001,2500,2024-03-01,Secondary web server
SRV-003,prod-db-01,Physical Server,Production,Copenhagen,DC1,10.0.1.20,Windows Server,2022,32,128,2000,Active,DBA Team,CC-1002,4500,2024-02-15,Primary database server
VM-001,dev-app-01,Virtual Machine,Development,Azure,West Europe,10.1.1.10,Ubuntu,22.04 LTS,4,16,100,Active,Dev Team,CC-2001,800,2024-03-05,Development environment
VM-002,test-app-01,Virtual Machine,Test,Azure,West Europe,10.1.2.10,Ubuntu,22.04 LTS,4,16,100,Active,QA Team,CC-2002,800,2024-03-05,Test environment
VM-003,stage-app-01,Virtual Machine,Staging,Azure,West Europe,10.1.3.10,Ubuntu,22.04 LTS,8,32,200,Active,Dev Team,CC-2001,1200,2024-03-05,Staging environment
NET-001,fw-main-01,Firewall,Production,Copenhagen,DC1,10.0.0.1,Palo Alto,PAN-OS 11,N/A,N/A,N/A,Active,Network Team,CC-3001,3000,2024-01-15,Main firewall
NET-002,sw-core-01,Switch,Production,Copenhagen,DC1,10.0.0.10,Cisco,IOS-XE 17,N/A,N/A,N/A,Active,Network Team,CC-3001,500,2024-02-01,Core switch
,,,,,,,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,,,,,,,
"Type: Physical Server, Virtual Machine, Container, Firewall, Switch, Router, Storage, Load Balancer",,,,,,,,,,,,,,,,,
"Environment: Production, Staging, Test, Development, DR",,,,,,,,,,,,,,,,,
"Status: Active, Inactive, Decommissioned, Maintenance",,,,,,,,,,,,,,,,,
